compound,orca_atom_index,element,chemical_label,structural_role,chelpg_charge_e
compound_08,0,S,thiosemicarbazone_S,thiosemicarbazone thione sulfur C=S,-0.48877824
compound_08,1,C,thiosemicarbazone_C,thiosemicarbazone thiocarbonyl carbon,0.19211290
compound_08,2,N,terminal_amino_N,terminal thiosemicarbazone amino nitrogen NH2,-0.53989315
compound_08,3,N,hydrazinic_N,hydrazinic nitrogen in C=N-NH-C(=S)-NH2,-0.00028340
compound_08,4,N,imine_N,imine nitrogen in thiosemicarbazone C=N-NH-C(=S)-NH2,-0.26679157
compound_08,5,C,imine_C2,levoglucosenone-derived C-2 imine carbon,0.12856194
compound_08,8,S,thioether_S,thioether bridge linking levoglucosenone and proximal sugar,-0.38006468
compound_08,11,O,acetate1_ester_O,ester oxygen of acetate substituent 1,-0.48500009
compound_08,14,O,acetate1_carbonyl_O,carbonyl oxygen of acetate substituent 1,-0.61006546
compound_08,16,O,acetate2_ester_O,ester oxygen of acetate substituent 2,-0.57819114
compound_08,19,O,acetate2_carbonyl_O,carbonyl oxygen of acetate substituent 2,-0.62099962
compound_08,21,O,interglycosidic_O,glycosidic oxygen linking the two sugar rings,-0.46313664
compound_08,24,O,acetate3_ester_O,ester oxygen of acetate substituent 3,-0.44723845
compound_08,27,O,acetate3_carbonyl_O,carbonyl oxygen of acetate substituent 3,-0.61270021
compound_08,29,O,acetate4_ester_O,ester oxygen of acetate substituent 4,-0.50182536
compound_08,32,O,acetate4_carbonyl_O,carbonyl oxygen of acetate substituent 4,-0.63278689
compound_08,34,O,acetate5_ester_O,ester oxygen of acetate substituent 5,-0.58259946
compound_08,37,O,acetate5_carbonyl_O,carbonyl oxygen of acetate substituent 5,-0.64794320
compound_08,40,O,acetate6_ester_O,ester oxygen of acetate substituent 6,-0.47206614
compound_08,43,O,acetate6_carbonyl_O,carbonyl oxygen of acetate substituent 6,-0.61145367
compound_08,44,O,distal_sugar_ring_O,ring oxygen of distal sugar unit,-0.49947445
compound_08,47,O,acetate7_ester_O,ester oxygen of acetate substituent 7,-0.51625582
compound_08,50,O,acetate7_carbonyl_O,carbonyl oxygen of acetate substituent 7,-0.65094765
compound_08,51,O,proximal_sugar_ring_O,ring oxygen of sugar unit attached to thioether,-0.44687901
compound_08,53,O,bicyclic_ether_O1,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.50490017
compound_08,55,O,bicyclic_ether_O2,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.40689052
