rank,conf_id,force_field,energy,not_converged
1,104,MMFF94s,71.03987918,0
2,17,MMFF94s,72.87388540,0
3,105,MMFF94s,73.30226704,0
4,69,MMFF94s,75.19985124,0
5,32,MMFF94s,75.37146486,0
6,12,MMFF94s,75.66976156,0
7,49,MMFF94s,75.94220973,0
8,100,MMFF94s,76.26132579,0
9,91,MMFF94s,76.26888790,0
10,8,MMFF94s,76.83254422,0
11,95,MMFF94s,76.98736968,0
12,108,MMFF94s,77.04208350,0
13,10,MMFF94s,77.64644374,0
14,43,MMFF94s,77.66283445,0
15,39,MMFF94s,77.88845206,0
16,115,MMFF94s,78.33155420,0
17,1,MMFF94s,78.76222118,0
18,4,MMFF94s,78.99643337,0
19,19,MMFF94s,79.04442305,0
20,41,MMFF94s,79.07860613,0
21,48,MMFF94s,79.08799376,0
22,5,MMFF94s,79.09015962,0
23,37,MMFF94s,79.42089031,0
24,61,MMFF94s,79.57785807,0
25,14,MMFF94s,79.82383075,0
26,52,MMFF94s,79.92371391,0
27,72,MMFF94s,79.92470169,0
28,110,MMFF94s,80.01030239,0
29,23,MMFF94s,80.14212590,0
30,9,MMFF94s,80.49676714,0
31,33,MMFF94s,80.62572787,0
32,67,MMFF94s,81.21124495,0
33,50,MMFF94s,81.44093034,0
34,70,MMFF94s,81.69921445,0
35,81,MMFF94s,81.79568975,0
36,44,MMFF94s,81.88010298,0
37,96,MMFF94s,81.88010318,0
38,93,MMFF94s,82.09472582,0
39,3,MMFF94s,82.40372245,0
40,21,MMFF94s,83.18419621,0
41,101,MMFF94s,83.27764980,0
42,60,MMFF94s,83.31904790,0
43,109,MMFF94s,83.56539575,0
44,28,MMFF94s,83.72762676,0
45,35,MMFF94s,83.75384361,0
46,27,MMFF94s,84.01965858,0
47,31,MMFF94s,84.26195299,0
48,114,MMFF94s,84.29279490,0
49,94,MMFF94s,84.81252383,0
50,97,MMFF94s,84.93868251,0
51,99,MMFF94s,84.96825567,0
52,20,MMFF94s,85.40544335,0
53,13,MMFF94s,85.67351992,0
54,34,MMFF94s,85.91025422,0
55,55,MMFF94s,86.52239617,0
56,86,MMFF94s,86.52239841,0
57,77,MMFF94s,86.52880199,0
58,76,MMFF94s,87.47470942,0
59,111,MMFF94s,87.67603473,0
60,24,MMFF94s,87.74816179,0
61,71,MMFF94s,87.95704278,0
62,38,MMFF94s,88.07538710,0
63,88,MMFF94s,88.86222813,0
64,65,MMFF94s,89.05302459,0
65,22,MMFF94s,89.12407085,0
66,92,MMFF94s,89.25001281,0
67,46,MMFF94s,89.56005572,0
68,106,MMFF94s,89.66567781,0
69,29,MMFF94s,89.79531010,0
70,51,MMFF94s,90.29059181,0
71,75,MMFF94s,90.32599889,0
72,16,MMFF94s,90.52283152,0
73,83,MMFF94s,90.57165007,0
74,36,MMFF94s,91.16444082,0
75,59,MMFF94s,91.16444103,0
76,98,MMFF94s,91.22009003,0
77,85,MMFF94s,91.40598434,0
78,7,MMFF94s,91.47390620,0
79,2,MMFF94s,91.49162758,0
80,15,MMFF94s,91.54423088,0
81,113,MMFF94s,91.58803602,0
82,90,MMFF94s,91.87726129,0
83,66,MMFF94s,92.14511485,0
84,11,MMFF94s,92.14675191,0
85,30,MMFF94s,92.28472386,0
86,53,MMFF94s,92.29401146,0
87,56,MMFF94s,92.57787566,0
88,47,MMFF94s,92.88062318,0
89,45,MMFF94s,92.89314107,0
90,68,MMFF94s,93.03958903,0
91,102,MMFF94s,93.07884440,0
92,78,MMFF94s,93.11261591,0
93,89,MMFF94s,93.41999532,0
94,87,MMFF94s,93.58470492,0
95,84,MMFF94s,93.58470786,0
96,6,MMFF94s,93.68721102,0
97,26,MMFF94s,93.85920628,0
98,0,MMFF94s,94.13817588,0
99,103,MMFF94s,94.25791815,0
100,25,MMFF94s,94.39442622,0
101,54,MMFF94s,94.62402777,0
102,73,MMFF94s,95.00950975,0
103,74,MMFF94s,95.30966445,0
104,62,MMFF94s,95.41155013,0
105,58,MMFF94s,95.70177879,0
106,107,MMFF94s,95.89178997,0
107,57,MMFF94s,96.22278966,0
108,82,MMFF94s,96.37827336,0
109,40,MMFF94s,96.50468024,0
110,80,MMFF94s,96.98086488,0
111,79,MMFF94s,98.92167532,0
112,18,MMFF94s,98.92684547,0
113,42,MMFF94s,101.40105070,0
114,64,MMFF94s,101.80518923,0
115,63,MMFF94s,101.86921672,0
116,112,MMFF94s,105.42604815,0
