configuration	ligand	seed	start	end	exit_status	mode1_score_kcal_mol	elapsed	max_rss_kb	pose_sha256	log_sha256	time_sha256	record_sha256
compound_08_LasR_2UV0_run01_seed2026071641	compound_08.pdbqt	2026071641	2026-07-16T22:01:07+02:00	2026-07-16T22:18:23+02:00	0	-4.0494	17:16.09	1111404	e9d0f5705b65155c280b0663c4d7b5decf3536a127dec0555186a0183bf12cac	0144d5dc235680f4dc371ac98d6baa322d0570b38739a2604efd40510386b009	ab18872a4d6508d908ece0ccf4925e146583de5118ebae96cf70a7a5dd490c31	b08036ae0722bdeb5fb26b37ffcaeedac7900514a5411572cba772041a4154b9
compound_08_LasR_2UV0_run02_seed2026071642	compound_08.pdbqt	2026071642	2026-07-16T22:18:23+02:00	2026-07-16T22:35:18+02:00	0	-4.2492	16:54.37	1111400	6c3c00c16af60fe5115652b1d207fdf138083af27173faa46ef502f25a00fb3b	52587b689b17174685746d8abf880cc20e1d8d39c2c9bdffb9c5db29fa280d22	49486d8a110e39a28c1510d56bdc6ec1101cadc8093f0a4757d772a18fc89b4f	d041f8228cb7ae04d013afa4017315d5c37f393b674bb374afbb8931db896295
compound_08_LasR_2UV0_run03_seed2026071643	compound_08.pdbqt	2026071643	2026-07-16T22:35:18+02:00	2026-07-16T22:53:27+02:00	0	-4.0304	18:08.98	1111548	545ab3238b683794e313914f653e001d4af32711d55e08869a6226dbee6398f0	647072a391cd892b44082c4b5c16c6ce32ec547568867728765b347e7ad45247	589a1b13f4c58c51f4c83a8a5dd27417febbbdc6e702511e6a0bdf283031b6e8	4699842e6a37bcaef516151299de2a208dc0120444d2d9b3f0d2dc50882516db
compound_08_LasR_2UV0_run04_seed2026071644	compound_08.pdbqt	2026071644	2026-07-16T22:53:27+02:00	2026-07-16T23:10:31+02:00	0	-4.1615	17:03.87	1111508	a2f6d9187aac679a6cc13e230e38da1692cecce5e218782d1aa9bd91534931df	8818a7de40846928b409de27dac7c6d36d737608e5089bc84054da06a1cc2551	b91fa439243ebb7d3ad1603c97bfea6343a464625b886e3900d6c0a4dd15ee19	175470fa46360aa072e1be62f282af13e7ca33ab92196c0e9346e530fddbd2b6
compound_08_LasR_2UV0_run05_seed2026071645	compound_08.pdbqt	2026071645	2026-07-16T23:10:31+02:00	2026-07-16T23:26:59+02:00	0	-4.0741	16:28.01	1111392	8ed627a100beb072cc79cf24ee094457bd0c44e5bbb5b8b8ed92062fdb3e44f5	96afc4db64346d2dd3c0efa5140b56039c13e5c797cbb6b7d1515b7fb3509e16	527f8c1108442d72fa4c161b332095bd51675e8b827a29f8c6075fa26b41fc2e	c1b61f65cec84ab0898fcdcc313772ee24cc4193a743c0388225ae2fc5b4b3e3
compound_09_LasR_2UV0_run01_seed2026071651	compound_09.pdbqt	2026071651	2026-07-16T23:26:59+02:00	2026-07-16T23:28:29+02:00	0	-4.1282	1:30.30	563632	af832590f93bb64b624145ec264ff87203992a8342bf5eebaa5cee25825bee59	af295befbdd7da44751c40793e6178b0a1736bcd593e9d06aa12e90380d700cf	176f4c95faa321fbbfc2b881a8a6ca99a4b5a215aaef834aeec74d28ea2b59c8	73bbddb7a3e4875994376d5fac3f3d3f1cc598dad3c991ae8e172e4f99333346
compound_09_LasR_2UV0_run02_seed2026071652	compound_09.pdbqt	2026071652	2026-07-16T23:28:29+02:00	2026-07-16T23:29:58+02:00	0	-4.1492	1:28.43	563488	65e7e3ebb975ec4e9acde16ff363f87015ef9d2d429907f2feac2b93bb3de93c	a724e54d135830416e2ba2a3538cafd3d472e3e1b63f69381c17b8d55af77e8b	9aaa1ac5d9da3b1c0b799980dce4fdac062ea4287686b88a7a8953f8106ea348	34f8a51a4ed5edbce18b11498badfea6dc70eca51857bf09d82e02765a692c14
compound_09_LasR_2UV0_run03_seed2026071653	compound_09.pdbqt	2026071653	2026-07-16T23:29:58+02:00	2026-07-16T23:31:26+02:00	0	-4.1398	1:28.09	563596	06a5d93f875e9c5725dc00c8e64afa76a3235130630f755a71706172b798405e	46cc5ce71f9432dfeb18f894bede423664ebbd5e21dc6ebcbbe919382d2c64e6	f0ac80ed5b757e00f2da3564b894c8f8b738f4afa8cb8e2c48399b4686eccef3	69a4cb836a9fcac62f861777711078805162856954d968d2933e8c22291074b6
compound_09_LasR_2UV0_run04_seed2026071654	compound_09.pdbqt	2026071654	2026-07-16T23:31:26+02:00	2026-07-16T23:32:59+02:00	0	-4.1345	1:32.71	563592	b16e22646f1ce75054ebccc3e49afcb063cbf2741e3d14ca91f453fbca7abdb1	444c901c3f5f82830c466e10bf43cf48e369f75722e0bc2177487869969c5730	f468a1cc647de6bb91bacdf6419a5aa8060ddc9588d54236c8a64d0cd504490c	fae98724537a3b0022ce0d8fb14076131112a4510bdedab446b75e0a15ed33c0
compound_09_LasR_2UV0_run05_seed2026071655	compound_09.pdbqt	2026071655	2026-07-16T23:32:59+02:00	2026-07-16T23:34:30+02:00	0	-4.1399	1:31.65	563632	b1bbec6fc6096f9a3d99d347fbdb1a588b1f01d865c8b1431adf46565ba34656	bb45544e9432e4b80237137fe82e8d614555a6a2526a3545edd9f8f7e239cd55	6466b5d57cbae696c2cfda9d64c0f8345d2ee93c9d61ad45079faf912d02e942	e0ff9a45cf19ddbf0881b9ec76f4ccccec71d5e0eeddc169b87acfd56f72f964
compound_11_LasR_2UV0_run01_seed2026071661	compound_11.pdbqt	2026071661	2026-07-16T23:34:30+02:00	2026-07-16T23:34:40+02:00	0	-3.9624	0:09.15	434120	843edbd9b1f64a786871b549ad7269b300813ebe97ce2ead4e9657d6467eca94	6a7214c26bb71facc7fa5917c8b3703345a09efd0d5ec4e5b81a84a77c070aa7	eb647789e156a6b3f178480e683fc1ef4c599699a666cc4b1f4179b194de6ede	f5edde62286c4a9035ed3c973c98464615991bed74a533be5b7c87f8ce46d419
