compound,orca_atom_index,element,chemical_label,structural_role,chelpg_charge_e
compound_08,0,S,thiosemicarbazone_S,thiosemicarbazone thione sulfur C=S,-0.48877824
compound_08,2,N,terminal_amino_N,terminal thiosemicarbazone amino nitrogen NH2,-0.53989315
compound_08,3,N,hydrazinic_N,hydrazinic nitrogen in C=N-NH-C(=S)-NH2,-0.00028340
compound_08,4,N,imine_N,imine nitrogen in thiosemicarbazone C=N-NH-C(=S)-NH2,-0.26679157
compound_08,8,S,thioether_S,thioether bridge linking levoglucosenone and proximal sugar,-0.38006468
compound_08,11,O,acetate1_ester_O,ester oxygen of acetate substituent 1,-0.48500009
compound_08,14,O,acetate1_carbonyl_O,carbonyl oxygen of acetate substituent 1,-0.61006546
compound_08,16,O,acetate2_ester_O,ester oxygen of acetate substituent 2,-0.57819114
compound_08,19,O,acetate2_carbonyl_O,carbonyl oxygen of acetate substituent 2,-0.62099962
compound_08,21,O,interglycosidic_O,glycosidic oxygen linking the two sugar rings,-0.46313664
compound_08,24,O,acetate3_ester_O,ester oxygen of acetate substituent 3,-0.44723845
compound_08,27,O,acetate3_carbonyl_O,carbonyl oxygen of acetate substituent 3,-0.61270021
compound_08,29,O,acetate4_ester_O,ester oxygen of acetate substituent 4,-0.50182536
compound_08,32,O,acetate4_carbonyl_O,carbonyl oxygen of acetate substituent 4,-0.63278689
compound_08,34,O,acetate5_ester_O,ester oxygen of acetate substituent 5,-0.58259946
compound_08,37,O,acetate5_carbonyl_O,carbonyl oxygen of acetate substituent 5,-0.64794320
compound_08,40,O,acetate6_ester_O,ester oxygen of acetate substituent 6,-0.47206614
compound_08,43,O,acetate6_carbonyl_O,carbonyl oxygen of acetate substituent 6,-0.61145367
compound_08,44,O,distal_sugar_ring_O,ring oxygen of distal sugar unit,-0.49947445
compound_08,47,O,acetate7_ester_O,ester oxygen of acetate substituent 7,-0.51625582
compound_08,50,O,acetate7_carbonyl_O,carbonyl oxygen of acetate substituent 7,-0.65094765
compound_08,51,O,proximal_sugar_ring_O,ring oxygen of sugar unit attached to thioether,-0.44687901
compound_08,53,O,bicyclic_ether_O1,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.50490017
compound_08,55,O,bicyclic_ether_O2,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.40689052
compound_09,0,S,thiosemicarbazone_S,thiosemicarbazone thione sulfur C=S,-0.50127246
compound_09,2,N,terminal_amino_N,terminal thiosemicarbazone amino nitrogen NH2,-0.52200266
compound_09,3,N,hydrazinic_N,hydrazinic nitrogen in C=N-NH-C(=S)-NH2,0.01875997
compound_09,4,N,imine_N,imine nitrogen in thiosemicarbazone C=N-NH-C(=S)-NH2,-0.29654155
compound_09,8,S,thioether_S,thioether bridge linking levoglucosenone and xylopyranose,-0.29326569
compound_09,11,O,acetate1_ester_O,ester oxygen of acetate substituent 1,-0.44151917
compound_09,14,O,acetate1_carbonyl_O,carbonyl oxygen of acetate substituent 1,-0.61484564
compound_09,16,O,acetate2_ester_O,ester oxygen of acetate substituent 2,-0.55713891
compound_09,19,O,acetate2_carbonyl_O,carbonyl oxygen of acetate substituent 2,-0.62770745
compound_09,21,O,acetate3_ester_O,ester oxygen of acetate substituent 3,-0.54006137
compound_09,24,O,acetate3_carbonyl_O,carbonyl oxygen of acetate substituent 3,-0.62488013
compound_09,26,O,xylopyranose_ring_O,ring oxygen of peracetylated xylopyranose,-0.49287075
compound_09,28,O,bicyclic_ether_O1,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.36479809
compound_09,30,O,bicyclic_ether_O2,"oxygen of 6,8-dioxabicyclo[3.2.1]octane core",-0.38727930
compound_11,0,O,carbonyl_O,levoglucosenone carbonyl oxygen,-0.50556993
compound_11,4,N,N-4,"1,3,4-thiadiazole ring nitrogen bonded to levoglucosenone core",0.31321861
compound_11,5,N,N-3,"1,3,4-thiadiazole ring nitrogen",-0.45537399
compound_11,7,N,N-exocyclic,exocyclic amino nitrogen NH2,-0.95315983
compound_11,8,S,S-1,"1,3,4-thiadiazole ring sulfur",0.01876394
compound_11,10,S,S-exocyclic,exocyclic thione sulfur C=S,-0.38433741
compound_11,12,O,bicyclic_ether_O1,bicyclic ether oxygen,-0.43964327
compound_11,14,O,bicyclic_ether_O2,bicyclic ether oxygen,-0.42466528
